Rhodope,22.1*,56200,2.686473,0.2097862,12.02546,264.68658,128.9418,281.41386
Urda,29.8*,56200,2.8568444,0.0338672,2.20988,131.08124,166.39894,113.34692
Sibylla,54.2*,56200,3.3740261,0.0687109,4.63632,169.31879,206.42652,313.64923
Zelia,25.7*,56200,2.3578457,0.1313856,5.50065,334.45452,354.79839,229.12938
Maria,27.8*,56200,2.5538217,0.0625018,14.38355,158.63934,301.37405,110.53096
Ophelia,45.7*,56200,3.1318237,0.13071828,2.54668,57.00508,100.53928,121.8632751
Baucis,36.7*,56200,2.3789101,0.11528906,10.02934,359.42888,331.99161,159.289495
Ino,61.7*,56200,2.7446748,0.20636416,14.20926,227.91292,148.28605,234.8168411
Phaedra,42.3*,56200,2.8593782,0.14424775,12.12898,289.26813,327.72624,45.3578298
Andromache,45.7*,56200,3.1822474,0.2331891,3.22019,320.68352,21.35656,152.56322
Iduna,55.2*,56200,3.187472,0.16601589,22.58651,187.28934,200.68819,283.6003579
Irma,26.6*,56200,2.7671782,0.2385911,1.39027,38.2111,347.57818,102.5081564
Belisana,27.9*,56200,2.4605807,0.0425172,1.89767,210.64356,51.17308,124.26258
Klytaemnestra,49.2*,56200,2.9700682,0.1149035,7.81592,104.06875,251.94383,169.15791
Garumna,18.2*,56200,2.7224923,0.1650838,0.86634,175.4921,312.21884,355.25329
Eucharis,56.8*,56200,3.1307548,0.20299371,18.88388,318.62666,143.23803,143.4230751
Elsa,31.5*,56200,2.4166897,0.18639728,2.00441,310.30779,107.24121,12.9610807
Istria,24.3*,56200,2.7910682,0.3517081,26.3868,264.27842,141.97267,358.53579
Dejopeja,45.7*,56200,3.1913912,0.07068803,1.14057,207.85264,332.11891,238.4186941
Eunike,62.8*,56200,2.7393885,0.12878664,23.22027,224.62878,153.90402,22.2619293
Celuta,34.7*,56200,2.3619545,0.1501473,13.17541,315.01514,14.84403,255.8056514
Lamberta,49*,56200,2.7285431,0.24031899,10.58625,196.81586,21.73117,271.3113409
Menippe,30.1*,56200,2.761839,0.17605841,11.73373,68.75293,241.17145,47.6975426
Phthia,28.6*,56200,2.4499319,0.03563097,5.17815,168.50297,203.52151,336.7515425
Ismene,63.7*,56200,3.9934393,0.16541555,6.16093,273.54447,175.94484,319.8410699
Kolga,32.2*,56200,2.8968248,0.09156916,11.50091,228.09426,159.36365,44.8996108
Nausikaa,78.7*,56200,2.4021387,0.24656859,6.81494,30.12603,343.26429,83.7086838
Ambrosia,24.3*,56200,2.6006918,0.2974044,12.01103,81.33673,350.00455,2.37361
Prokne,61.1*,56200,2.6188738,0.23598552,18.48067,163.29436,159.42637,76.0803796
Eurykleia,33.1*,56200,2.876758,0.0433439,6.96619,121.84485,7.07323,188.09723
Philomela,103.3*,56200,3.113731,0.0200633,7.26009,199.64143,72.53085,21.3190986
Arete,30.6*,56200,2.742855,0.1612125,8.79551,246.78493,81.63583,75.76407
Ampella,45.3*,56200,2.4575973,0.22879354,9.31418,88.60706,268.46831,133.063279
Byblis,45.9*,56200,3.1690236,0.17779755,15.4748,180.08908,88.59802,201.8764859
Dynamene,46.8*,56200,2.7363937,0.13426356,6.89674,85.04918,324.59448,65.8621445
Penelope,43.3*,56200,2.6772627,0.18120982,5.75786,181.18338,157.03922,123.9930718
Chryseis,68.9*,56200,3.0721419,0.10112177,8.85196,1.02232,136.85182,115.0150819
Pompeja,37.2*,56200,2.7362429,0.05956184,3.17873,56.79474,347.94129,103.2181678
Kallisto,35*,56200,2.6698894,0.1746018,8.28575,55.70543,205.13166,274.03124
Martha,29.9*,56200,2.777691,0.0340785,10.68355,174.70071,211.92922,262.83128
Hersilia,38.6*,56200,2.7399246,0.03816613,3.77857,298.59202,145.18307,46.0067184
Hedda,21.8*,56200,2.2840551,0.02951832,3.80307,194.24419,29.25552,353.9247237
Lacrimosa,33.9*,56200,2.8941581,0.0151297,1.74694,115.66243,4.51636,282.00664
Dido,47.2*,56200,3.1452646,0.0607031,7.16926,249.94452,0.74653,63.0157712
Isabella,28.6*,56200,2.7232454,0.12123028,5.25601,14.41606,32.66956,206.9038757
